"","Rater","Sample","Overlap","Semester","Sex","RsrchQ","CritDes","InitEDA","SelMeth","InterpRes","VisOrg","TxtOrg","Artifact","Repeated"
"87",1,88,NA,"Spring","F",3,3,3,2,3,4,3,"88",0
"88",1,89,10,"Fall","F",3,2,3,2,3,2,3,"O10",1
"89",1,90,13,"Fall","M",2,2,3,2,2,2,3,"O13",1
"90",1,91,11,"Spring","F",3,1,2,2,3,2,3,"O11",1
"91",1,92,NA,"Fall","F",3,1,2,2,3,2,3,"92",0
"92",1,93,NA,"Spring","F",3,1,2,2,3,2,4,"93",0
"93",1,94,NA,"Fall","F",3,3,4,2,3,3,3,"94",0
"94",1,95,NA,"Fall","M",2,2,3,3,3,2,3,"95",0
"95",1,96,NA,"Fall","F",3,2,3,2,3,3,3,"96",0
"96",1,97,12,"Fall","F",2,1,2,2,3,2,2,"O12",1
"97",1,98,1,"Fall","M",2,1,3,2,2,2,2,"O1",1
"98",1,99,4,"Fall","M",2,1,3,3,3,2,3,"O4",1
"99",1,100,NA,"Fall","F",2,3,2,3,3,NA,2,"100",0
"100",1,101,NA,"Spring","F",1,1,3,2,2,3,3,"101",0
"101",1,102,NA,"Fall","M",1,1,2,2,3,2,1,"102",0
"102",1,103,NA,"Fall","M",2,2,3,3,3,2,3,"103",0
"103",1,104,NA,"Fall","F",2,1,3,2,3,2,3,"104",0
"104",1,105,NA,"Fall","M",2,1,2,2,2,2,2,"105",0
"105",1,106,NA,"Fall","M",3,2,1,2,2,2,3,"106",0
"106",1,107,NA,"Fall","M",3,1,2,2,3,2,2,"107",0
"107",1,108,6,"Fall","F",2,1,1,2,2,2,3,"O6",1
"108",1,109,2,"Fall","M",3,2,3,2,3,3,4,"O2",1
"109",1,110,3,"Fall","F",2,2,3,2,3,2,3,"O3",1
"110",1,111,NA,"Spring","F",2,1,2,2,2,2,2,"111",0
"111",1,112,NA,"Fall","M",3,1,3,2,3,3,3,"112",0
"112",1,113,NA,"Spring","F",2,1,1,2,3,2,2,"113",0
"113",1,114,NA,"Spring","F",2,1,3,2,3,2,3,"114",0
"114",1,115,NA,"Spring","F",3,1,3,2,3,3,3,"115",0
"115",1,116,NA,"Fall","F",2,1,2,2,2,3,3,"116",0
"116",1,117,NA,"Fall","F",2,1,2,2,3,4,3,"117",0
"117",1,118,NA,"Fall","F",2,1,2,2,3,3,3,"118",0
